Time_s   F0_Hz
0.022098   --undefined--
0.032098   --undefined--
0.042098   --undefined--
0.052098   --undefined--
0.062098   --undefined--
0.072098   --undefined--
0.082098   --undefined--
0.092098   --undefined--
0.102098   --undefined--
0.112098   --undefined--
0.122098   --undefined--
0.132098   --undefined--
0.142098   --undefined--
0.152098   --undefined--
0.162098   --undefined--
0.172098   --undefined--
0.182098   --undefined--
0.192098   --undefined--
0.202098   --undefined--
0.212098   --undefined--
0.222098   --undefined--
0.232098   --undefined--
0.242098   --undefined--
0.252098   --undefined--
0.262098   --undefined--
0.272098   --undefined--
0.282098   --undefined--
0.292098   --undefined--
0.302098   --undefined--
0.312098   --undefined--
0.322098   --undefined--
0.332098   --undefined--
0.342098   --undefined--
0.352098   --undefined--
0.362098   --undefined--
0.372098   --undefined--
0.382098   --undefined--
0.392098   --undefined--
0.402098   --undefined--
0.412098   --undefined--
0.422098   --undefined--
0.432098   --undefined--
0.442098   --undefined--
0.452098   --undefined--
0.462098   --undefined--
0.472098   --undefined--
0.482098   --undefined--
0.492098   --undefined--
0.502098   --undefined--
0.512098   --undefined--
0.522098   --undefined--
0.532098   --undefined--
0.542098   --undefined--
0.552098   --undefined--
0.562098   --undefined--
0.572098   --undefined--
0.582098   --undefined--
0.592098   --undefined--
0.602098   --undefined--
0.612098   --undefined--
0.622098   --undefined--
0.632098   --undefined--
0.642098   --undefined--
0.652098   --undefined--
0.662098   --undefined--
0.672098   --undefined--
0.682098   --undefined--
0.692098   --undefined--
0.702098   --undefined--
0.712098   --undefined--
0.722098   --undefined--
0.732098   --undefined--
0.742098   --undefined--
0.752098   --undefined--
0.762098   --undefined--
0.772098   --undefined--
0.782098   --undefined--
0.792098   --undefined--
0.802098   --undefined--
0.812098   --undefined--
0.822098   --undefined--
0.832098   --undefined--
0.842098   --undefined--
0.852098   112.075268
0.862098   110.176827
0.872098   107.385021
0.882098   105.232006
0.892098   103.706338
0.902098   104.941672
0.912098   106.623524
0.922098   107.993764
0.932098   109.095197
0.942098   110.398137
0.952098   111.610224
0.962098   112.929379
0.972098   114.473139
0.982098   116.865953
0.992098   118.718596
1.002098   119.270741
1.012098   122.321207
1.022098   123.370005
1.032098   121.966515
1.042098   120.698217
