Time_s   F0_Hz
0.913322   --undefined--
0.923322   --undefined--
0.933322   --undefined--
0.943322   --undefined--
0.953322   --undefined--
0.963322   --undefined--
0.973322   --undefined--
0.983322   --undefined--
0.993322   --undefined--
1.003322   --undefined--
1.013322   --undefined--
1.023322   --undefined--
1.033322   --undefined--
1.043322   --undefined--
1.053322   --undefined--
1.063322   --undefined--
1.073322   --undefined--
1.083322   --undefined--
1.093322   --undefined--
1.103322   --undefined--
1.113322   --undefined--
1.123322   --undefined--
1.133322   --undefined--
1.143322   --undefined--
1.153322   --undefined--
1.163322   --undefined--
1.173322   --undefined--
1.183322   --undefined--
1.193322   --undefined--
1.203322   235.888490
1.213322   230.256543
1.223322   226.883476
1.233322   225.573566
1.243322   226.776055
1.253322   224.943644
1.263322   224.953249
1.273322   --undefined--
1.283322   --undefined--
1.293322   --undefined--
1.303322   --undefined--
1.313322   217.170603
1.323322   228.674227
1.333322   235.247489
1.343322   246.525730
1.353322   256.652338
1.363322   260.514867
1.373322   262.462087
1.383322   257.287799
1.393322   254.310842
1.403322   250.545104
1.413322   245.849996
1.423322   244.659777
1.433322   243.570236
1.443322   243.263104
1.453322   242.543738
1.463322   242.483289
1.473322   242.606771
1.483322   241.573795
1.493322   238.089317
1.503322   236.023455
1.513322   236.233058
1.523322   234.246506
1.533322   230.335331
1.543322   225.359891
1.553322   221.446689
1.563322   219.845050
1.573322   222.140634
1.583322   220.106249
1.593322   215.841789
1.603322   211.859314
1.613322   210.018836
1.623322   207.909755
1.633322   206.723158
1.643322   205.594442
1.653322   204.594813
1.663322   203.615415
1.673322   201.462897
1.683322   199.054560
1.693322   197.505277
1.703322   196.695259
1.713322   197.193120
1.723322   195.726533
1.733322   193.234753
1.743322   --undefined--
1.753322   --undefined--
1.763322   --undefined--
1.773322   --undefined--
1.783322   --undefined--
1.793322   --undefined--
1.803322   --undefined--
1.813322   --undefined--
1.823322   245.300209
1.833322   246.967917
1.843322   249.106310
1.853322   251.058609
1.863322   252.694770
1.873322   254.228595
1.883322   256.636954
1.893322   259.089982
1.903322   260.461857
1.913322   261.708816
1.923322   263.471983
1.933322   265.254210
1.943322   267.285216
1.953322   269.533839
1.963322   271.688406
1.973322   273.033046
1.983322   273.510675
1.993322   273.697427
2.003322   273.867359
2.013322   273.524044
2.023322   273.432079
2.033322   273.647426
2.043322   274.215387
2.053322   274.842546
2.063322   138.640852
2.073322   140.856876
2.083322   142.277553
2.093322   140.946184
2.103322   138.508051
2.113322   138.857552
2.123322   --undefined--
2.133322   --undefined--
2.143322   --undefined--
2.153322   --undefined--
2.163322   --undefined--
2.173322   --undefined--
2.183322   --undefined--
2.193322   --undefined--
2.203322   --undefined--
2.213322   --undefined--
2.223322   --undefined--
2.233322   --undefined--
2.243322   --undefined--
2.253322   --undefined--
2.263322   --undefined--
2.273322   --undefined--
2.283322   --undefined--
2.293322   --undefined--
2.303322   --undefined--
2.313322   --undefined--
2.323322   242.415256
2.333322   228.739934
2.343322   216.349967
2.353322   206.906256
2.363322   202.246527
2.373322   --undefined--
2.383322   --undefined--
2.393322   --undefined--
2.403322   --undefined--
2.413322   --undefined--
2.423322   --undefined--
2.433322   --undefined--
2.443322   --undefined--
2.453322   --undefined--
2.463322   --undefined--
2.473322   --undefined--
2.483322   --undefined--
2.493322   --undefined--
2.503322   --undefined--
2.513322   --undefined--
2.523322   --undefined--
2.533322   --undefined--
2.543322   --undefined--
2.553322   --undefined--
2.563322   --undefined--
2.573322   --undefined--
2.583322   --undefined--
2.593322   --undefined--
2.603322   --undefined--
2.613322   231.359658
2.623322   218.568017
2.633322   212.924161
2.643322   211.082245
2.653322   210.412916
2.663322   210.074730
2.673322   209.620225
2.683322   208.752284
2.693322   208.857124
2.703322   209.714315
2.713322   211.368072
2.723322   214.945552
2.733322   217.005364
2.743322   221.930712
2.753322   --undefined--
2.763322   --undefined--
2.773322   --undefined--
2.783322   --undefined--
2.793322   --undefined--
2.803322   236.162913
2.813322   235.391883
2.823322   215.857396
2.833322   206.781287
2.843322   203.155788
2.853322   200.983256
2.863322   200.050922
2.873322   199.063622
2.883322   196.326787
2.893322   196.046065
2.903322   195.339816
2.913322   195.348425
2.923322   194.878057
2.933322   192.012756
2.943322   195.042689
2.953322   194.507665
2.963322   194.143172
2.973322   194.755729
2.983322   196.400849
2.993322   198.410974
3.003322   202.963509
3.013322   208.803511
3.023322   212.308094
3.033322   216.103081
3.043322   220.434671
3.053322   222.609598
3.063322   226.220730
3.073322   231.063628
3.083322   232.268694
3.093322   235.473054
3.103322   237.450997
3.113322   239.014226
3.123322   241.467299
3.133322   242.560659
3.143322   244.514030
3.153322   245.928323
3.163322   247.963130
3.173322   250.109719
3.183322   251.064359
3.193322   252.456139
3.203322   253.464561
3.213322   253.958142
3.223322   254.242427
3.233322   252.783183
3.243322   250.539810
3.253322   247.941898
3.263322   245.251828
3.273322   243.616090
3.283322   240.231904
3.293322   245.238962
3.303322   248.475002
3.313322   254.861414
3.323322   --undefined--
3.333322   --undefined--
3.343322   --undefined--
3.353322   --undefined--
3.363322   --undefined--
3.373322   --undefined--
3.383322   --undefined--
3.393322   --undefined--
3.403322   --undefined--
3.413322   --undefined--
3.423322   --undefined--
3.433322   --undefined--
3.443322   --undefined--
3.453322   --undefined--
3.463322   --undefined--
3.473322   --undefined--
3.483322   --undefined--
3.493322   --undefined--
3.503322   --undefined--
3.513322   --undefined--
3.523322   226.330824
3.533322   211.678562
3.543322   197.721762
3.553322   191.875598
3.563322   192.527082
3.573322   191.261988
3.583322   190.325506
3.593322   190.256431
3.603322   190.345241
3.613322   190.587470
3.623322   191.115580
3.633322   192.722079
3.643322   193.657109
3.653322   194.623682
3.663322   195.107028
3.673322   194.558229
3.683322   193.530747
3.693322   189.587070
3.703322   197.893937
3.713322   203.139374
3.723322   227.665630
3.733322   209.381528
3.743322   204.323819
3.753322   203.279271
3.763322   203.073095
3.773322   202.794645
3.783322   202.662888
3.793322   202.355643
3.803322   201.587447
3.813322   200.517090
3.823322   199.793689
3.833322   195.862551
3.843322   190.022012
3.853322   204.365048
3.863322   203.556015
3.873322   --undefined--
3.883322   --undefined--
3.893322   --undefined--
3.903322   --undefined--
3.913322   --undefined--
3.923322   --undefined--
3.933322   --undefined--
3.943322   --undefined--
3.953322   --undefined--
3.963322   125.646912
3.973322   125.145912
3.983322   128.301980
3.993322   128.564401
4.003322   129.714517
4.013322   --undefined--
4.023322   --undefined--
4.033322   --undefined--
4.043322   --undefined--
4.053322   --undefined--
4.063322   --undefined--
4.073322   --undefined--
4.083322   --undefined--
4.093322   --undefined--
4.103322   --undefined--
4.113322   --undefined--
4.123322   --undefined--
4.133322   --undefined--
4.143322   245.984077
4.153322   223.158395
4.163322   212.353901
4.173322   204.652606
4.183322   199.145418
4.193322   195.581939
4.203322   194.284952
4.213322   193.404038
4.223322   191.822386
4.233322   190.786350
4.243322   190.014649
4.253322   190.045590
4.263322   188.858191
4.273322   188.363400
4.283322   188.559388
4.293322   187.767453
4.303322   184.756607
4.313322   181.116156
4.323322   --undefined--
4.333322   --undefined--
4.343322   --undefined--
4.353322   --undefined--
4.363322   --undefined--
4.373322   --undefined--
4.383322   --undefined--
4.393322   --undefined--
4.403322   --undefined--
4.413322   --undefined--
4.423322   --undefined--
4.433322   --undefined--
4.443322   103.748135
4.453322   99.332817
4.463322   94.113327
4.473322   93.312641
4.483322   92.262550
4.493322   91.471140
4.503322   --undefined--
4.513322   --undefined--
4.523322   --undefined--
4.533322   --undefined--
4.543322   --undefined--
4.553322   --undefined--
4.563322   --undefined--
4.573322   202.254100
4.583322   191.730504
4.593322   188.604742
4.603322   189.380270
4.613322   190.341833
4.623322   190.432885
4.633322   189.063337
4.643322   188.682731
4.653322   187.946010
4.663322   185.453429
4.673322   181.888048
4.683322   176.688039
4.693322   175.020216
4.703322   167.928560
4.713322   --undefined--
4.723322   --undefined--
4.733322   --undefined--
4.743322   --undefined--
4.753322   --undefined--
4.763322   --undefined--
4.773322   --undefined--
4.783322   --undefined--
4.793322   --undefined--
4.803322   --undefined--
4.813322   --undefined--
4.823322   --undefined--
4.833322   --undefined--
4.843322   --undefined--
4.853322   --undefined--
4.863322   --undefined--
4.873322   --undefined--
4.883322   --undefined--
4.893322   --undefined--
